"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","50.72","52.15","52.55","49.40","25.59K","-5.83%"
"Apr 22, 2021","53.86","53.25","54.71","53.00","7.71K","1.97%"
"Apr 21, 2021","52.82","52.82","53.29","52.20","5.30K","0.00%"
"Apr 20, 2021","52.82","52.00","53.64","51.52","9.32K","0.65%"
"Apr 19, 2021","52.48","52.00","53.10","51.85","6.60K","2.60%"
"Apr 16, 2021","51.15","51.00","52.40","50.64","7.92K","1.51%"
"Apr 15, 2021","50.39","49.70","50.65","49.30","5.14K","3.09%"
"Apr 14, 2021","48.88","49.10","49.52","48.64","6.32K","0.58%"
"Apr 13, 2021","48.60","48.84","49.80","48.24","8.10K","-1.10%"
"Apr 12, 2021","49.14","48.30","49.51","47.84","8.34K","4.87%"
"Apr 09, 2021","46.86","48.00","48.21","46.62","4.96K","-0.72%"
"Apr 08, 2021","47.20","48.00","48.48","47.14","4.44K","-1.58%"
"Apr 07, 2021","47.96","48.70","49.07","47.58","7.13K","-2.06%"
"Apr 06, 2021","48.97","48.48","49.18","48.35","4.28K","3.73%"
"Apr 01, 2021","47.21","47.12","47.80","46.27","4.99K","0.88%"
"Mar 31, 2021","46.80","46.60","47.69","46.24","4.76K","-2.90%"
"Mar 30, 2021","48.20","46.75","48.80","46.68","7.84K","2.55%"
"Mar 29, 2021","47.00","47.30","47.72","46.43","14.67K","-2.87%"
"Mar 26, 2021","48.39","47.42","48.94","47.40","12.99K","2.41%"
"Mar 25, 2021","47.25","47.15","48.06","47.00","10.83K","-0.42%"
"Mar 24, 2021","47.45","47.09","48.27","46.07","10.02K","1.67%"
"Mar 23, 2021","46.67","45.50","46.76","44.72","9.43K","2.06%"
"Mar 22, 2021","45.73","43.59","46.00","42.81","7.08K","6.10%"
"Mar 19, 2021","43.10","43.25","43.85","42.86","7.00K","-3.17%"
"Mar 18, 2021","44.51","46.30","46.49","43.60","6.40K","-1.46%"
"Mar 17, 2021","45.17","44.20","45.59","42.94","6.98K","2.54%"
"Mar 16, 2021","44.05","44.70","45.25","43.10","9.86K","-2.74%"
"Mar 15, 2021","45.29","46.50","48.48","44.94","11.62K","-4.65%"
"Mar 12, 2021","47.50","46.00","47.76","45.38","7.48K","1.98%"
"Mar 11, 2021","46.58","45.12","46.87","44.14","10.06K","3.76%"
"Mar 10, 2021","44.89","43.50","45.22","43.50","12.08K","4.93%"
"Mar 09, 2021","42.78","41.40","42.98","41.35","5.04K","5.89%"
"Mar 08, 2021","40.40","42.09","42.10","40.32","7.37K","-2.06%"
"Mar 05, 2021","41.25","39.94","42.09","38.96","9.94K","3.57%"
"Mar 04, 2021","39.83","39.01","40.03","38.96","6.07K","2.68%"
"Mar 03, 2021","38.79","40.06","40.08","38.60","7.81K","-4.25%"
"Mar 02, 2021","40.51","41.19","41.22","40.08","11.28K","-1.00%"
"Mar 01, 2021","40.92","40.20","41.50","40.16","6.52K","2.84%"
"Feb 26, 2021","39.79","40.20","40.30","39.10","5.56K","-1.24%"
